"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","2/24/2013","Court 1","2:30pm","7S Elkhorn Elite Arnold 7th","7S Lincoln Ambassadors 7th","7th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 1","2:30pm","7S Bellevue Thunder Gold 7th","7S Lincoln Ambassadors 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 1","1:30pm","7S Lincoln Ambassadors 7th","7S Millard West Green 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 1","11:30am","7S Nebraska City Purple 7th","7S Millard West Green 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 1","2:30pm","7S Elkhorn Elite Arnold 7th","7S Millard West Green 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 1","12:30pm","7S Bellevue Thunder Gold 7th","7S Millard West Green 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 1","11:30am","7S Bennington Badgers 7th","7S Nebraska City Purple 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 1","11:30am","7S Bellevue Thunder Gold 7th","7S Nebraska City Purple 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 1","11:30am","7S St. Geralds 7th","7S Nebraska City Purple 7th","7th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 1","1:30pm","7S Lincoln Ambassadors 7th","7S Nebraska City Purple 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 1","2:30pm","7S Millard West Green 7th","7S St. Geralds 7th","7th Grade Silver","Lied Center"
